ComplianceID,productID,ComplianceMetric,Date
101,1124,Metric3,2023-07-26
102,1097,Metric1,2022-12-09
103,1030,Metric2,2023-11-09
104,1025,Metric1,2023-09-01
105,1088,Metric1,2023-09-16
106,1099,Metric1,2022-07-17
107,1116,Metric1,2022-09-10
108,1095,Metric3,2023-06-25
109,1121,Metric2,2022-12-16
110,1061,Metric2,2023-07-08
111,1004,Metric1,2023-04-06
112,1048,Metric1,2023-10-07
113,1053,Metric1,2023-12-30
114,1019,Metric3,2022-07-31
115,1090,Metric2,2024-05-31
116,1100,Metric2,2024-04-13
117,1005,Metric1,2022-07-13
118,1048,Metric2,2023-04-10
119,1108,Metric2,2023-06-09
120,1097,Metric2,2023-06-26
121,1057,Metric3,2023-07-14
122,1133,Metric1,2023-01-29
123,1123,Metric3,2022-07-08
124,1133,Metric3,2023-07-07
125,1003,Metric3,2023-07-18
126,1122,Metric1,2022-12-02
127,1140,Metric3,2023-01-16
128,1053,Metric3,2023-05-17
129,1085,Metric1,2024-02-07
130,1026,Metric2,2022-12-06
131,1044,Metric1,2023-03-02
132,1069,Metric2,2022-06-27
133,1027,Metric2,2024-05-08
134,1067,Metric3,2023-06-23
135,1011,Metric3,2022-12-12
136,1056,Metric2,2024-02-04
137,1126,Metric1,2024-04-13
138,1103,Metric2,2023-11-16
139,1098,Metric2,2023-07-29
140,1018,Metric2,2023-08-03
141,1114,Metric2,2022-10-15
142,1132,Metric2,2023-08-24
143,1148,Metric3,2023-07-06
144,1024,Metric3,2023-03-01
145,1145,Metric2,2024-01-05
146,1129,Metric1,2024-06-20
147,1043,Metric3,2022-07-14
148,1106,Metric3,2022-12-23
149,1094,Metric3,2023-04-11
150,1023,Metric3,2023-06-07
151,1035,Metric2,2023-11-04
152,1090,Metric2,2022-07-30
153,1058,Metric3,2022-07-27
154,1105,Metric3,2022-09-23
155,1141,Metric3,2022-08-06
156,1121,Metric3,2022-12-09
157,1081,Metric3,2023-07-14
158,1017,Metric1,2023-03-10
159,1130,Metric3,2023-03-10
160,1004,Metric2,2024-03-22
161,1042,Metric3,2022-12-25
162,1118,Metric2,2023-01-04
163,1050,Metric2,2023-05-05
164,1111,Metric2,2024-05-28
165,1144,Metric3,2023-07-17
166,1087,Metric2,2024-05-12
167,1102,Metric2,2023-03-18
168,1088,Metric1,2024-02-05
169,1003,Metric1,2024-01-16
170,1059,Metric2,2024-03-02
171,1135,Metric2,2023-08-01
172,1001,Metric3,2024-05-05
173,1113,Metric2,2023-10-24
174,1052,Metric1,2022-09-05
175,1050,Metric3,2023-07-23
176,1029,Metric2,2023-07-24
177,1016,Metric3,2023-02-28
178,1136,Metric2,2023-10-17
179,1052,Metric3,2024-02-08
180,1025,Metric2,2024-01-12
181,1059,Metric3,2023-08-20
182,1010,Metric1,2024-02-16
183,1110,Metric2,2024-04-18
184,1036,Metric1,2024-01-17
185,1134,Metric3,2024-05-16
186,1035,Metric1,2023-05-15
187,1139,Metric2,2022-08-24
188,1082,Metric2,2023-09-26
189,1129,Metric1,2023-11-13
190,1039,Metric2,2024-02-12
191,1003,Metric1,2023-10-12
192,1061,Metric2,2023-12-28
193,1136,Metric3,2022-12-07
194,1076,Metric1,2024-02-25
195,1019,Metric1,2022-07-04
196,1089,Metric2,2024-02-07
197,1129,Metric1,2023-03-18
198,1107,Metric2,2023-01-22
199,1031,Metric3,2022-06-25
200,1050,Metric2,2024-06-12
201,1004,Metric2,2022-09-04
202,1081,Metric2,2024-01-05
203,1014,Metric1,2023-06-28
204,1060,Metric3,2023-06-08
205,1085,Metric3,2023-04-30
206,1090,Metric1,2024-03-07
207,1011,Metric3,2023-06-05
208,1066,Metric3,2023-12-22
209,1050,Metric2,2023-04-22
210,1029,Metric1,2023-11-06
211,1026,Metric2,2023-06-03
212,1005,Metric3,2024-04-27
213,1024,Metric3,2024-01-22
214,1090,Metric2,2023-08-17
215,1150,Metric2,2023-06-10
216,1013,Metric1,2023-11-18
217,1143,Metric1,2024-05-04
218,1081,Metric2,2023-11-06
219,1053,Metric2,2022-09-09
220,1128,Metric2,2023-05-04
221,1096,Metric2,2023-03-21
222,1041,Metric1,2023-05-27
223,1034,Metric1,2023-12-14
224,1131,Metric3,2022-10-09
225,1072,Metric2,2023-03-26
226,1144,Metric1,2022-07-03
227,1116,Metric3,2023-07-29
228,1117,Metric1,2022-07-02
229,1056,Metric1,2023-06-15
230,1088,Metric1,2023-05-12
231,1112,Metric1,2023-11-12
232,1063,Metric1,2023-09-11
233,1012,Metric3,2023-12-11
234,1099,Metric1,2024-06-24
235,1106,Metric3,2023-03-03
236,1100,Metric1,2023-08-03
237,1114,Metric2,2023-11-29
238,1009,Metric1,2022-10-04
239,1026,Metric2,2024-03-04
240,1122,Metric1,2023-10-25
241,1074,Metric2,2024-03-22
242,1049,Metric1,2023-03-11
243,1046,Metric1,2022-11-29
