ComplianceID,FundID,ComplianceMetric,Date,Value,Description
CD0001,DODGX,Metric Y,2011-05-29,28.71,Brother us interview politics factor focus baby check.
CD0002,DODGX,Metric S,2023-07-17,25.34,Daughter author during business.
CD0003,DODGX,Metric B,2023-05-01,47.46,Also under with least home.
CD0004,DODGX,Metric I,2023-02-27,75.9,Forget energy prevent not mention recent.
CD0005,DODGX,Metric B,2021-02-19,69.5,Onto per state.
CD0006,DODGX,Metric G,2020-09-10,79.65,Last everyone whole by road concern I production.
CD0007,DODGX,Metric A,2023-03-06,75.68,Behind difficult store ever long.
CD0008,DODGX,Metric P,2009-07-26,95.44,Behind seven mother yourself actually west.
CD0009,DODGX,Metric P,2015-11-10,21.06,Current know this.
CD0010,DODGX,Metric O,2020-11-13,78.78,Practice industry ask fill fire rise big.
CD0011,DODGX,Metric V,2020-12-09,29.42,Crime best section campaign.
CD0012,DODGX,Metric I,2024-05-23,73.88,Teacher mention again heart put dog very.
CD0013,DODGX,Metric Y,2017-04-08,23.63,Service address budget minute southern.
CD0014,DODGX,Metric M,2011-09-01,22.23,Really receive strong listen kitchen crime agree.
CD0015,DODGX,Metric C,2009-09-28,70.06,Stay modern how look.
CD0016,DODGX,Metric Q,2016-11-16,92.02,Individual base born body.
CD0017,DODGX,Metric N,2008-11-18,5.69,Line three interest.
CD0018,DODGX,Metric T,2020-10-01,65.17,Heavy best eat near specific will many full.
CD0019,DODGX,Metric V,2009-06-02,29.89,Wait south early structure inside.
CD0020,DODGX,Metric L,2016-09-25,6.02,Analysis common population boy huge.
CD0021,DODGX,Metric V,2009-12-02,2.69,Early want food.
CD0022,DODWX,Metric U,2021-08-16,2.95,Let sure similar political cup along.
CD0023,DODWX,Metric L,2005-11-25,27.56,Room wish author majority total son.
CD0024,DODWX,Metric Q,2009-07-11,10.84,Special attention significant although watch black Republican.
CD0025,DODWX,Metric Z,2010-01-09,31.33,Recently suggest score improve remember window.
CD0026,DODWX,Metric G,2014-07-17,29.1,Administration throw left program north across.
CD0027,DODWX,Metric C,2017-04-14,94.62,Situation inside race course control page house open.
CD0028,DODWX,Metric Q,2010-06-29,38.93,Report rate help radio art.
CD0029,DODWX,Metric Y,2014-03-19,69.5,Theory buy air wonder water professor.
CD0030,DODWX,Metric S,2021-11-14,58.64,Leader administration process knowledge rest either.
CD0031,DODWX,Metric O,2014-02-16,4.46,The at break.
CD0032,DODWX,Metric I,2007-09-12,84.15,Item make outside picture sit option bit they.
