MarketDataID,FundID,Date,NAV,Volume
MD0001,DODGX,2015-11-20,494.56,11748
MD0002,DODGX,2012-05-16,414.57,9891
MD0003,DODGX,2020-06-15,434.75,46284
MD0004,DODGX,2009-08-21,404.14,71140
MD0005,DODGX,2010-05-01,385.98,27404
MD0006,DODGX,2021-11-22,511.64,84796
MD0007,DODGX,2016-10-20,379.41,82581
MD0008,DODGX,2015-01-29,461.77,30553
MD0009,DODGX,2014-04-16,493.69,7521
MD0010,DODGX,2008-11-21,460.66,73014
MD0011,DODGX,2010-09-14,536.09,5898
MD0012,DODGX,2014-01-10,492.22,43009
MD0013,DODGX,2022-01-25,525.5,23444
MD0014,DODGX,2015-05-31,374.81,49135
MD0015,DODGX,2012-11-11,455.31,58401
MD0016,DODGX,2011-09-28,500.14,73515
MD0017,DODGX,2017-06-05,437.49,36039
MD0018,DODGX,2007-12-24,456.97,98301
MD0019,DODGX,2019-11-26,530.05,30206
MD0020,DODGX,2012-11-06,509.94,79576
MD0021,DODGX,2016-05-04,467.92,93213
MD0022,DODGX,2016-03-27,473.1,89947
MD0023,DODGX,2015-02-02,438.41,82906
MD0024,DODGX,2007-01-29,543.75,13084
MD0025,DODGX,2021-06-25,365.17,13845
MD0026,DODGX,2017-10-06,493.8,54547
MD0027,DODGX,2009-03-20,375.6,86212
MD0028,DODGX,2013-10-30,476.33,95659
MD0029,DODGX,2008-01-08,444.36,44037
MD0030,DODGX,2015-11-10,372.04,88850
MD0031,DODGX,2009-03-04,515.78,68453
MD0032,DODGX,2009-01-08,458.16,33830
MD0033,DODGX,2018-08-14,539.15,37927
MD0034,DODGX,2011-08-20,369.39,49151
MD0035,DODGX,2007-07-12,436.71,97933
MD0036,DODGX,2018-02-11,471.09,2624
MD0037,DODGX,2011-07-28,490.43,55117
MD0038,DODGX,2019-12-02,450.88,28752
MD0039,DODGX,2023-08-02,461.18,26011
MD0040,DODGX,2017-09-01,368.5,79725
MD0041,DODGX,2016-08-07,511.24,76439
MD0042,DODGX,2013-09-19,452.03,81120
MD0043,DODGX,2018-07-16,389.45,89803
MD0044,DODGX,2014-11-15,440.05,99571
MD0045,DODGX,2016-06-21,468.37,44293
MD0046,DODGX,2016-01-20,405.48,88817
MD0047,DODGX,2011-06-10,366.41,36848
MD0048,DODGX,2010-12-19,408.3,12151
MD0049,DODGX,2014-09-21,438.23,38327
MD0050,DODGX,2010-10-06,396.48,63733
MD0051,DODGX,2018-08-13,453.91,53729
MD0052,DODGX,2013-11-15,377.19,96037
MD0053,DODGX,2019-02-27,542.36,20281
MD0054,DODGX,2019-05-28,400.48,78106
MD0055,DODGX,2023-09-13,508.8,12194
MD0056,DODGX,2015-09-19,496.83,40707
MD0057,DODGX,2017-12-02,406.99,61146
MD0058,DODGX,2012-01-09,384.13,49165
MD0059,DODGX,2021-10-24,523.55,25044
MD0060,DODGX,2013-06-24,455.47,33805
MD0061,DODGX,2022-10-15,532.35,6958
MD0062,DODGX,2018-08-23,536.19,83632
MD0063,DODGX,2007-06-03,378.54,88021
MD0064,DODGX,2018-11-04,421.31,13843
MD0065,DODGX,2022-03-21,495.82,53420
MD0066,DODGX,2014-05-31,426.44,24541
MD0067,DODGX,2011-12-01,388.32,85351
MD0068,DODGX,2023-04-08,509.24,9027
MD0069,DODGX,2010-10-20,446.16,8974
MD0070,DODGX,2007-06-28,377.65,25241
MD0071,DODGX,2019-08-22,392.37,87736
MD0072,DODGX,2017-04-25,448.24,3902
MD0073,DODGX,2020-12-31,418.9,83717
MD0074,DODGX,2020-04-01,419.09,10461
MD0075,DODGX,2015-09-19,440.07,49569
MD0076,DODGX,2017-11-05,501.3,71280
MD0077,DODGX,2016-03-17,412.53,7937
MD0078,DODGX,2018-08-08,404.41,76662
MD0079,DODGX,2015-08-17,405.23,57347
MD0080,DODGX,2007-10-06,384.27,7566
MD0081,DODGX,2010-04-28,405.66,69703
MD0082,DODGX,2009-08-29,515.81,88848
MD0083,DODGX,2013-02-28,535.96,73814
MD0084,DODGX,2007-05-21,373.82,98354
MD0085,DODGX,2021-11-05,383.87,83130
MD0086,DODGX,2021-09-03,491.16,60879
MD0087,DODGX,2009-04-09,424.16,28051
MD0088,DODGX,2024-01-16,540.54,90146
MD0089,DODGX,2023-09-01,448.16,62459
MD0090,DODGX,2023-05-10,528.85,50038
MD0091,DODGX,2019-06-24,480.81,96808
MD0092,DODGX,2021-12-01,438.86,19113
MD0093,DODGX,2010-03-14,444.86,74652
MD0094,DODGX,2015-03-03,457.37,79189
MD0095,DODGX,2017-08-27,429.89,3514
MD0096,DODGX,2017-01-21,378.04,56528
MD0097,DODGX,2020-02-11,369.59,87818
MD0098,DODGX,2022-09-03,481.13,78034
MD0099,DODGX,2017-10-24,481.98,4591
MD0100,DODGX,2012-11-01,504.0,19566
MD0101,DODGX,2018-12-20,393.38,8046
MD0102,DODGX,2008-04-24,507.38,67702
MD0103,DODGX,2010-06-22,458.62,89953
MD0104,DODGX,2012-08-20,390.61,69269
MD0105,DODGX,2017-03-28,447.12,99568
MD0106,DODGX,2019-10-12,401.51,54511
MD0107,DODGX,2013-05-01,374.02,94182
MD0108,DODGX,2007-11-09,449.56,58248
MD0109,DODGX,2018-12-30,412.19,13623
MD0110,DODGX,2012-06-12,507.0,73918
MD0111,DODGX,2014-08-28,498.66,61094
MD0112,DODGX,2009-09-04,374.83,95540
MD0113,DODGX,2013-12-19,404.5,15393
MD0114,DODGX,2007-03-04,398.91,64009
MD0115,DODGX,2023-06-26,489.0,96159
MD0116,DODGX,2023-03-14,460.92,68134
MD0117,DODGX,2012-10-02,511.88,74819
MD0118,DODGX,2012-10-17,397.5,48722
