RiskID,FundID,MarketRisk,CreditRisk,OperationalRisk,Date,RiskAssessment
RD0001,DODGX,3.94,3.38,5.19,2024-05-14,Example need hand part.
RD0002,DODGX,4.83,1.46,8.15,2006-10-02,Mrs require trial individual cost exactly interesting.
RD0003,DODGX,9.4,6.01,2.02,2014-04-16,Environmental send identify owner member important and.
RD0004,DODGX,1.28,4.5,3.61,2013-03-21,According eye may support fall.
RD0005,DODGX,5.62,6.19,2.47,2022-12-11,Side it science.
RD0006,DODGX,6.36,8.44,8.8,2017-11-06,Explain listen forward necessary.
RD0007,DODGX,2.12,7.45,4.58,2020-12-30,Cell market right.
RD0008,DODGX,0.1,8.51,3.46,2016-08-01,Likely human region throw blue simple.
RD0009,DODGX,1.84,0.53,3.8,2008-02-04,Produce land among hope write.
RD0010,DODGX,9.19,1.74,8.43,2012-11-13,Kid such century hold arm I prove serve.
RD0011,DODGX,5.62,3.74,0.42,2006-12-13,Difference certainly development financial wait we.
RD0012,DODGX,9.21,8.68,8.31,2020-10-18,Exist three mission without manage.
RD0013,DODGX,5.95,8.71,5.73,2015-09-14,My time life pressure need hit power.
RD0014,DODGX,5.92,7.49,5.1,2016-09-18,Friend manager place guess.
RD0015,DODGX,1.22,4.85,2.13,2019-02-26,Over thing wrong cause word compare.
RD0016,DODGX,7.81,2.02,6.59,2024-05-08,Force ball score.
RD0017,DODGX,4.18,9.89,8.36,2009-07-08,Information family situation.
RD0018,DODGX,3.59,4.6,4.01,2008-03-22,Finish phone eat.
RD0019,DODGX,5.13,2.25,8.6,2021-05-19,Walk important some.
RD0020,DODGX,1.5,0.26,0.85,2012-09-17,Hit training want arrive.
RD0021,DODGX,5.94,8.15,2.84,2018-03-06,Peace popular trade throw.
RD0022,DODGX,1.22,1.32,3.54,2012-07-24,Case public religious measure citizen the.
RD0023,DODWX,9.86,5.02,3.83,2016-11-12,College hit sometimes central.
RD0024,DODWX,7.82,2.33,8.97,2008-02-05,Organization our involve wear organization despite.
RD0025,DODWX,7.22,4.38,3.85,2015-06-03,Leader drug whose common school.
RD0026,DODWX,5.24,4.29,7.42,2021-11-06,Shake west they imagine.
RD0027,DODWX,2.72,9.98,0.56,2013-04-15,Good consumer always sea magazine.
