TransactionID,AccountID,FundID,TransactionType,Amount,TransactionDate,Notes
TR0001,AC001,DODIX,transfer,57187.7,2023-11-11,Eye more suffer wide fact talk one.
TR0002,AC001,DODBX,transfer,87503.81,2024-05-07,Service modern past thing.
TR0003,AC001,DODLX,transfer,67399.58,2023-10-17,Kind every investment break free civil.
TR0004,AC001,DODFX,deposit,16138.36,2023-05-18,Four represent behavior sometimes usually.
TR0005,AC001,DODWX,sell,91944.07,2023-03-12,Wrong TV nation idea establish car specific.
TR0006,AC001,DODBX,buy,93553.89,2023-10-13,Black kitchen although head whatever imagine.
TR0007,AC001,DODLX,withdrawal,73428.44,2023-06-01,Later any street within sport.
TR0008,AC001,DODIX,sell,29475.28,2023-11-12,Economy check source difficult free study.
TR0009,AC001,DODIX,sell,30185.15,2023-03-29,Yet person old dark item space girl.
TR0010,AC001,DODLX,sell,56398.77,2023-05-23,People yourself ability tend.
TR0011,AC001,DODGX,transfer,97473.0,2024-03-22,Travel surface according network.
TR0012,AC001,DODFX,dividend reinvestment,76679.09,2023-11-19,Report science dream.
TR0013,AC001,DODIX,dividend reinvestment,30918.71,2024-05-29,Teach catch by shoulder.
TR0014,AC001,DODWX,buy,92739.83,2023-11-17,Beautiful certainly state investment on go.
TR0015,AC001,DODWX,sell,52313.29,2023-09-15,Economic include within movie hour.
TR0016,AC001,DODLX,deposit,98387.33,2023-12-26,Position item television guy difficult cover.
TR0017,AC001,DODGX,transfer,78080.44,2023-02-18,Sea become machine.
TR0018,AC001,DODWX,withdrawal,28263.51,2023-05-08,Nearly tonight draw director.
TR0019,AC001,DODWX,sell,40904.64,2023-09-05,Week best economic can matter window.
TR0020,AC001,DODLX,dividend reinvestment,77686.01,2023-10-06,Real force financial fly born card.
TR0021,AC001,DODLX,deposit,93217.19,2024-02-18,Anyone whether bank phone.
TR0022,AC002,DODIX,transfer,62994.77,2023-03-13,Win home commercial president wait staff foot.
TR0023,AC002,DODFX,deposit,98432.97,2024-05-22,True without agent.
TR0024,AC002,DODGX,withdrawal,18879.05,2023-12-02,Suggest share three among laugh institution.
TR0025,AC002,DODLX,buy,13324.0,2023-09-04,Trade small imagine treat.
TR0026,AC002,DODLX,deposit,23349.18,2023-07-25,Win investment across end ready.
TR0027,AC002,DODLX,sell,63382.64,2023-10-31,Tend site blood hot authority.
TR0028,AC002,DODLX,withdrawal,21315.21,2024-02-02,Exactly ground red crime positive source.
