RiskID,productID,MarketRisk,CreditRisk,OperationalRisk,Date
1,1112,0.53,0.78,0.9,2022-08-02
2,1114,0.41,0.04,0.06,2023-06-06
3,1036,0.15,0.78,0.43,2024-04-01
4,1028,0.15,0.93,0.53,2023-03-23
5,1133,0.31,0.65,0.39,2023-07-17
6,1003,0.76,0.27,0.0,2022-11-25
7,1035,0.69,0.75,0.72,2022-10-03
8,1109,0.79,0.53,0.8,2024-06-09
9,1088,0.18,0.09,0.02,2023-05-31
10,1018,0.99,0.57,0.43,2023-06-11
11,1031,0.35,0.06,0.27,2022-09-22
12,1132,0.81,0.61,0.46,2023-11-16
13,1002,0.0,0.42,0.24,2023-11-09
14,1123,0.27,0.11,0.28,2023-07-20
15,1035,0.4,0.72,0.99,2023-08-05
16,1110,0.56,0.49,0.21,2024-06-06
17,1120,0.32,0.07,0.02,2023-04-06
18,1148,0.1,0.06,0.09,2024-05-20
19,1011,0.0,0.43,0.18,2024-04-19
20,1042,0.1,0.85,0.08,2022-07-28
21,1150,0.57,0.35,0.82,2024-04-23
22,1015,0.06,0.97,0.93,2023-06-01
23,1067,0.79,0.22,0.6,2023-04-12
24,1004,0.72,0.94,0.64,2023-11-30
25,1088,0.98,0.39,0.48,2022-09-03
26,1130,0.58,0.29,0.42,2022-11-02
27,1103,0.44,0.42,0.3,2024-01-26
28,1003,0.97,0.7,0.31,2022-10-20
29,1124,0.47,0.48,0.34,2024-02-25
30,1110,0.69,0.43,0.51,2022-07-13
31,1137,0.49,0.36,0.79,2023-09-04
32,1113,0.1,0.79,0.86,2023-08-23
33,1080,0.56,0.09,0.82,2022-12-15
34,1094,0.19,0.06,0.92,2023-11-09
35,1096,0.36,0.54,0.6,2022-12-01
36,1120,0.97,0.16,0.03,2023-01-15
37,1049,0.88,0.33,0.92,2023-10-05
38,1101,0.92,0.39,0.42,2022-12-21
39,1094,0.05,0.76,0.62,2023-11-15
40,1049,0.32,0.55,0.59,2023-10-19
41,1010,0.48,0.74,0.52,2024-04-16
42,1028,0.53,0.9,0.42,2022-10-06
43,1051,0.44,0.51,0.53,2024-04-27
44,1110,0.68,0.31,0.64,2024-01-13
45,1069,0.25,0.47,0.62,2023-04-10
46,1107,0.47,0.54,0.27,2023-06-12
47,1127,0.47,0.01,0.55,2023-10-29
48,1137,0.08,0.41,0.95,2023-07-31
49,1068,0.74,0.42,0.29,2023-07-01
50,1016,0.77,0.66,0.03,2022-11-20
51,1057,0.74,1.0,0.01,2023-12-26
52,1107,0.45,0.34,0.21,2022-08-09
53,1140,0.67,0.63,0.64,2023-07-06
54,1106,1.0,0.28,0.49,2022-07-12
55,1100,0.1,0.21,0.24,2023-05-10
56,1062,0.23,0.11,0.69,2024-01-19
57,1055,0.38,0.39,0.17,2024-02-28
58,1112,0.3,0.92,0.23,2024-04-25
59,1130,0.16,0.46,0.25,2024-02-01
60,1077,0.95,0.29,0.71,2024-01-02
61,1032,0.86,0.85,0.85,2022-11-16
62,1080,0.24,0.29,0.78,2023-07-23
63,1049,0.01,0.36,0.93,2023-08-30
64,1083,0.47,0.87,0.69,2024-02-25
65,1112,0.5,0.31,0.04,2024-03-14
66,1123,0.66,0.72,0.95,2023-11-12
67,1102,0.6,0.52,0.32,2023-03-15
68,1003,0.2,0.16,0.25,2023-09-12
69,1044,0.19,0.47,0.56,2023-02-03
70,1120,0.63,0.79,0.11,2023-09-07
71,1085,0.86,0.51,0.07,2022-12-01
72,1101,0.01,0.39,0.43,2023-08-01
73,1107,0.12,0.2,0.0,2022-07-26
74,1129,0.42,0.63,0.63,2023-11-12
75,1015,0.71,0.94,0.31,2024-01-31
76,1103,0.06,0.52,0.11,2024-03-27
77,1069,0.93,0.95,0.4,2023-06-29
78,1149,0.87,0.27,0.21,2023-05-19
79,1142,0.15,0.34,0.43,2023-08-10
80,1115,0.0,0.92,0.37,2023-02-02
81,1114,0.84,0.77,0.75,2024-01-23
82,1096,0.99,0.47,0.89,2022-09-24
